episode,pacman_reward,ghost_reward,steps,result,epsilon_pacman,epsilon_ghost,loss_pacman,loss_ghost
200,-3.52,13.48,184,caught,0.9044,0.9044,0.953826,0.696315
201,18.68,14.68,144,caught,0.9039,0.9039,0.774876,1.132704
202,18.68,14.68,144,caught,0.9035,0.9035,0.898169,0.161936
203,33.14,8.14,362,caught,0.903,0.903,0.835236,1.184215
204,21.46,3.46,518,cleared,0.9026,0.9026,1.701315,1.28257
205,16.38,5.38,454,caught,0.9021,0.9021,1.021467,3.038483
206,-3.12,6.88,404,caught,0.9017,0.9017,3.690812,0.303078
207,10.42,13.42,186,caught,0.9012,0.9012,2.026374,1.146504
208,8.17,11.17,261,caught,0.9008,0.9008,0.831828,1.31413
209,26.5,-13.5,600,cleared,0.9003,0.9003,0.793484,0.226383
210,20.49,9.49,317,caught,0.8999,0.8999,0.751682,1.537706
211,26.82,15.82,106,caught,0.8994,0.8994,1.046258,0.356771
212,-6.28,10.72,276,caught,0.899,0.899,0.741119,2.926488
213,33.5,-13.5,600,cleared,0.8985,0.8985,0.855879,0.558002
214,5.52,15.52,116,caught,0.8981,0.8981,1.778332,0.744244
215,-22.45,15.55,115,caught,0.8976,0.8976,1.905992,0.842206
216,39.18,7.18,394,caught,0.8972,0.8972,0.744516,0.615855
217,3.6,13.6,180,caught,0.8967,0.8967,0.915106,1.012059
218,3.81,13.81,173,caught,0.8963,0.8963,1.061311,0.89021
219,19.97,15.97,101,caught,0.8958,0.8958,0.964957,0.894986
220,19.27,1.27,591,cleared,0.8954,0.8954,0.857041,2.02538
221,35.63,10.63,279,caught,0.8949,0.8949,0.593084,1.703195
222,0.59,17.59,47,caught,0.8945,0.8945,4.971989,1.760551
223,34.58,9.58,314,caught,0.894,0.894,1.19035,0.829556
224,38.96,13.96,168,caught,0.8936,0.8936,0.839034,0.824445
225,39.0,-12.0,600,cleared,0.8931,0.8931,0.841298,1.626558
226,47.0,-13.0,600,cleared,0.8927,0.8927,0.751493,0.652988
227,32.33,7.33,389,caught,0.8922,0.8922,2.35556,1.124429
228,24.06,13.06,198,caught,0.8918,0.8918,0.971944,0.292873
229,-6.89,17.11,63,caught,0.8913,0.8913,0.951647,1.419113
230,50.98,11.98,234,caught,0.8909,0.8909,0.762554,0.334053
231,23.13,12.13,229,caught,0.8904,0.8904,0.646716,0.32922
232,-8.42,15.58,114,caught,0.89,0.89,0.984032,0.525963
233,18.5,-12.5,600,cleared,0.8896,0.8896,1.325427,0.390749
234,24.66,13.66,178,caught,0.8891,0.8891,1.11039,2.438535
235,33.5,-13.5,600,cleared,0.8887,0.8887,0.942545,2.070911
236,55.0,-14.0,600,cleared,0.8882,0.8882,0.989937,0.635601
237,1.74,11.74,242,caught,0.8878,0.8878,1.098421,0.642587
238,12.57,1.57,581,cleared,0.8873,0.8873,0.78681,1.105566
239,3.79,6.79,407,caught,0.8869,0.8869,0.896668,0.276315
240,-6.95,17.05,65,caught,0.8865,0.8865,1.200059,1.924082
241,18.65,14.65,145,caught,0.886,0.886,1.003989,0.509647
242,35.45,10.45,285,caught,0.8856,0.8856,0.84637,1.231429
243,0.08,17.08,64,caught,0.8851,0.8851,1.874245,0.401498
244,29.09,4.09,497,cleared,0.8847,0.8847,0.664753,1.238088
245,43.87,4.87,471,cleared,0.8842,0.8842,0.760216,1.217466
246,-0.59,2.41,553,timeout,0.8838,0.8838,0.719572,2.462584
247,29.81,4.81,473,cleared,0.8834,0.8834,0.95476,0.318323
248,24.0,-11.0,600,cleared,0.8829,0.8829,1.312867,1.241405
249,43.53,11.53,249,caught,0.8825,0.8825,1.248493,0.980595
250,42.25,3.25,525,cleared,0.882,0.882,0.926196,1.125633
251,-1.87,15.13,129,caught,0.8816,0.8816,1.240332,0.360952
252,62.62,2.62,546,cleared,0.8811,0.8811,2.27563,0.245094
253,21.75,10.75,275,caught,0.8807,0.8807,1.169885,1.139955
254,25.32,14.32,156,caught,0.8803,0.8803,0.873242,1.185377
255,25.21,7.21,393,caught,0.8798,0.8798,1.54906,0.229053
256,53.0,-12.0,600,cleared,0.8794,0.8794,0.990632,0.601177
257,26.23,8.23,359,caught,0.8789,0.8789,0.802362,2.687946
258,61.23,8.23,359,caught,0.8785,0.8785,0.985079,1.043987
259,69.5,-14.5,600,cleared,0.8781,0.8781,2.481713,1.775855
260,18.12,7.12,396,caught,0.8776,0.8776,0.742807,0.546381
261,25.08,14.08,164,caught,0.8772,0.8772,0.627464,1.219717
262,-5.76,4.24,492,timeout,0.8768,0.8768,0.756475,1.038095
263,-3.16,13.84,172,caught,0.8763,0.8763,0.973907,1.102775
264,47.09,1.09,597,cleared,0.8759,0.8759,0.965183,0.284567
265,62.0,-14.0,600,cleared,0.8754,0.8754,0.731699,0.963485
266,45.49,6.49,417,caught,0.875,0.875,1.009816,1.51752
267,-20.92,17.08,64,caught,0.8746,0.8746,0.676386,2.858006
268,20.5,-14.5,600,cleared,0.8741,0.8741,0.788566,1.637613
269,11.63,7.63,379,caught,0.8737,0.8737,1.909741,1.274145
270,-13.35,17.65,45,caught,0.8732,0.8732,0.666585,1.236688
271,33.53,8.53,349,caught,0.8728,0.8728,0.98392,1.35396
272,5.46,15.46,118,caught,0.8724,0.8724,1.348926,0.894813
273,40.76,15.76,108,caught,0.8719,0.8719,1.008527,0.877956
274,10.96,13.96,168,caught,0.8715,0.8715,3.357496,2.939617
275,12.19,15.19,127,caught,0.8711,0.8711,0.784504,1.074157
276,22.83,11.83,239,caught,0.8706,0.8706,2.335415,1.644397
277,-7.19,16.81,73,caught,0.8702,0.8702,0.93159,0.871702
278,-7.1,16.9,70,caught,0.8698,0.8698,1.041796,0.282127
279,-1.15,15.85,105,caught,0.8693,0.8693,1.803295,1.871393
280,-0.49,16.51,83,caught,0.8689,0.8689,1.077608,1.677709
281,-6.86,17.14,62,caught,0.8685,0.8685,1.126605,1.099986
282,9.91,12.91,203,caught,0.868,0.868,0.777239,0.317227
283,-0.25,16.75,75,caught,0.8676,0.8676,0.921711,1.629934
284,26.32,8.32,356,caught,0.8672,0.8672,0.734452,1.122567
285,-14.13,16.87,71,caught,0.8667,0.8667,0.857398,1.745651
286,0.17,17.17,61,caught,0.8663,0.8663,1.166041,1.358957
287,41.0,-14.0,600,cleared,0.8659,0.8659,2.38117,0.439959
288,47.0,-13.0,600,cleared,0.8654,0.8654,1.097751,2.273423
289,38.39,13.39,187,caught,0.865,0.865,0.81543,0.504714
290,26.53,8.53,349,caught,0.8646,0.8646,1.994104,0.217337
291,-13.71,17.29,57,caught,0.8641,0.8641,1.196102,0.27489
292,19.88,15.88,104,caught,0.8637,0.8637,0.816165,0.483268
293,24.5,-11.5,600,cleared,0.8633,0.8633,1.421741,1.08614
294,47.5,-13.5,600,cleared,0.8628,0.8628,1.341202,0.681534
295,13.39,16.39,87,caught,0.8624,0.8624,0.842803,1.463273
296,37.91,12.91,203,caught,0.862,0.862,0.739638,2.351146
297,48.79,9.79,307,caught,0.8615,0.8615,0.894617,0.579626
298,31.99,13.99,167,caught,0.8611,0.8611,0.894314,0.85612
299,18.8,14.8,140,caught,0.8607,0.8607,1.191081,1.854855
300,-6.74,17.26,58,caught,0.8602,0.8602,1.038784,2.48754
301,-14.25,16.75,75,caught,0.8598,0.8598,1.219636,0.878726
302,40.97,15.97,101,caught,0.8594,0.8594,1.005339,1.041045
303,25.63,7.63,379,caught,0.859,0.859,1.050265,0.675478
304,14.29,17.29,57,caught,0.8585,0.8585,1.107134,0.768225
305,-18.98,5.02,466,caught,0.8581,0.8581,1.071553,0.318198
306,-5.84,18.16,28,caught,0.8577,0.8577,4.805206,0.406135
307,34.83,2.83,539,cleared,0.8572,0.8572,1.058413,1.189696
308,14.39,10.39,287,caught,0.8568,0.8568,1.097452,1.210202
309,50.89,11.89,237,caught,0.8564,0.8564,1.189141,1.596136
310,7.56,17.56,48,caught,0.856,0.856,1.461036,0.563155
311,-11.0,13.0,200,caught,0.8555,0.8555,1.07003,3.043835
312,26.13,15.13,129,caught,0.8551,0.8551,8.011871,0.710577
313,23.16,12.16,228,caught,0.8547,0.8547,1.172735,0.908812
314,32.32,14.32,156,caught,0.8542,0.8542,2.078404,1.097749
315,-0.94,16.06,98,caught,0.8538,0.8538,0.953704,1.945563
316,59.5,-11.5,600,cleared,0.8534,0.8534,1.135535,0.890053
317,19.77,8.77,341,caught,0.853,0.853,2.469256,0.808861
318,47.83,8.83,339,caught,0.8525,0.8525,1.067499,1.362336
319,26.06,1.06,598,cleared,0.8521,0.8521,0.772078,0.300527
320,18.5,14.5,150,caught,0.8517,0.8517,0.980978,0.519838
321,19.41,8.41,353,caught,0.8513,0.8513,1.058064,0.927956
322,21.63,10.63,279,caught,0.8508,0.8508,1.009112,0.481016
323,74.5,-12.5,600,cleared,0.8504,0.8504,0.837885,1.166399
324,13.66,16.66,78,caught,0.85,0.85,1.070706,0.445958
